name,h,f,l,p,r,s
c1,7,3,7,1,6,3
c266,7,3,7,2,3,5
c1,7,3,7,2,4,4
c14994,7,3,7,2,5,3
c1,7,3,7,2,6,2
c1,7,3,7,3,2,5
c3013,7,3,7,3,3,4
c1,7,3,7,3,4,3
c1397,7,3,7,3,5,2
c1,7,3,7,3,6,1
c1,7,3,7,4,1,5
c1,7,3,7,4,2,4
c1,7,3,7,4,3,3
c1,7,3,7,4,4,2
c1,7,3,7,4,5,1
c199730,7,3,7,5,1,4
c1,7,3,7,5,2,3
c1,7,3,7,5,3,2
c2733,7,3,7,5,4,1
c28054,7,3,7,6,1,3
c1,7,3,7,6,2,2
c11437,7,3,7,6,3,1
c1,7,3,7,7,1,2
c1,7,3,7,7,2,1
c44733,8,2,8,1,4,5
c1,8,2,8,1,5,4
c138989,8,2,8,1,6,3
c301,8,2,8,2,3,5
c313,8,2,8,2,4,4
c59624,8,2,8,2,5,3
c1,8,2,8,2,6,2
c3339,8,2,8,3,2,5
c26853,8,2,8,3,3,4
c1,8,2,8,3,4,3
c32088,8,2,8,3,5,2
c1,8,2,8,3,6,1
c1,8,2,8,4,1,5
c1,8,2,8,4,2,4
c1,8,2,8,4,3,3
c1,8,2,8,4,4,2
c8784,8,2,8,4,5,1
c1194,8,2,8,5,1,4
c958,8,2,8,5,2,3
c1,8,2,8,5,3,2
c62,8,2,8,5,4,1
c24098,8,2,8,6,1,3
c1,8,2,8,6,2,2
c225721,8,2,8,6,3,1
c1,8,2,8,7,1,2
c1,8,2,8,7,2,1
c211,9,1,9,1,4,5
c93,9,1,9,1,5,4
c55479,9,1,9,1,6,3
c67211,9,1,9,2,3,5
c14,9,1,9,2,4,4
c6616,9,1,9,2,5,3
c506,9,1,9,2,6,2
c120675,9,1,9,3,2,5
c4446,9,1,9,3,3,4
c676,9,1,9,3,4,3
c116268,9,1,9,3,5,2
c1,9,1,9,3,6,1
c55361,9,1,9,4,1,5
c12914,9,1,9,4,2,4
c3532,9,1,9,4,3,3
c56076,9,1,9,4,4,2
c893,9,1,9,4,5,1
c67241,9,1,9,5,1,4
c143,9,1,9,5,2,3
c1,9,1,9,5,3,2
c30,9,1,9,5,4,1
c74533,9,1,9,6,1,3
c26740,9,1,9,6,2,2
c37488,9,1,9,6,3,1
c21834,9,1,9,7,1,2
c133254,9,1,9,7,2,1
c166,10,1,8,1,4,5
c20,10,1,8,1,5,4
c267,10,1,8,1,6,3
c1881,10,1,8,2,3,5
c46,10,1,8,2,4,4
c30,10,1,8,2,5,3
c76344,10,1,8,2,6,2
c134484,10,1,8,3,2,5
c587,10,1,8,3,3,4
c1,10,1,8,3,4,3
c68261,10,1,8,3,5,2
c1,10,1,8,3,6,1
c1,10,1,8,4,1,5
c47,10,1,8,4,2,4
c1,10,1,8,4,3,3
c13,10,1,8,4,4,2
c533,10,1,8,4,5,1
c8,10,1,8,5,1,4
c218,10,1,8,5,2,3
c1,10,1,8,5,3,2
c166,10,1,8,5,4,1
c27,10,1,8,6,1,3
c112,10,1,8,6,2,2
c16,10,1,8,6,3,1
c20275,10,1,8,7,1,2
c84953,10,1,8,7,2,1
c40227,10,2,6,1,4,5
c11822,10,2,6,1,5,4
c1,10,2,6,1,6,3
c1,10,2,6,2,3,5
c1537,10,2,6,2,4,4
c97281,10,2,6,2,5,3
c1,10,2,6,2,6,2
c1,10,2,6,3,2,5
c1,10,2,6,3,3,4
c768,10,2,6,3,4,3
c1,10,2,6,3,5,2
c1,10,2,6,3,6,1
c1,10,2,6,4,1,5
c55865,10,2,6,4,2,4
c1,10,2,6,4,3,3
c10899,10,2,6,4,4,2
c78211,10,2,6,4,5,1
c13499,10,2,6,5,1,4
c22,10,2,6,5,2,3
c1,10,2,6,5,3,2
c21186,10,2,6,5,4,1
c127348,10,2,6,6,1,3
c1,10,2,6,6,2,2
c46036,10,2,6,6,3,1
c1,10,2,6,7,1,2
c1,10,2,6,7,2,1
c62647,10,3,4,1,4,5
c141092,10,3,4,1,5,4
c1,10,3,4,1,6,3
c4880,10,3,4,2,3,5
c9939,10,3,4,2,4,4
c492,10,3,4,2,5,3
c1,10,3,4,2,6,2
c1,10,3,4,3,2,5
c1052,10,3,4,3,3,4
c1,10,3,4,3,4,3
c1,10,3,4,3,5,2
c1,10,3,4,3,6,1
c1,10,3,4,4,1,5
c10,10,3,4,4,2,4
c1,10,3,4,4,3,3
c5,10,3,4,4,4,2
c71,10,3,4,4,5,1
c235630,10,3,4,5,1,4
c1,10,3,4,5,2,3
c2,10,3,4,5,3,2
c124843,10,3,4,5,4,1
c76267,10,3,4,6,1,3
c1,10,3,4,6,2,2
c42,10,3,4,6,3,1
c1,10,3,4,7,1,2
c1,10,3,4,7,2,1
c33770,2,6,11,1,5,5
c1,2,6,11,1,6,4
c1,2,6,11,1,7,3
c1,2,6,11,2,4,5
c1,2,6,11,2,5,4
c1,2,6,11,2,6,3
c1,2,6,11,3,2,6
c1,2,6,11,3,3,5
c1,2,6,11,3,4,4
c1,2,6,11,3,5,3
c50,2,6,11,3,6,2
c1,2,6,11,4,3,4
c1,2,6,11,4,5,2
c1,2,6,11,5,1,5
c1,2,6,11,5,2,4
c1,2,6,11,5,3,3
c1,2,6,11,5,4,2
c106,2,6,11,5,5,1
c425,2,6,11,6,1,4
c1,2,6,11,6,2,3
c1,2,6,11,6,3,2
c1,2,6,11,6,4,1
c1,2,6,11,7,1,3
c1,3,5,10,1,5,5
c1,3,5,10,1,6,4
c1,3,5,10,1,7,3
c1,3,5,10,2,4,5
c1,3,5,10,2,5,4
c1,3,5,10,2,6,3
c1097,3,5,10,3,2,6
c1,3,5,10,3,3,5
c1,3,5,10,3,4,4
c1,3,5,10,3,5,3
c1,3,5,10,3,6,2
c1,3,5,10,4,3,4
c1,3,5,10,4,5,2
c1,3,5,10,5,1,5
c1,3,5,10,5,2,4
c1,3,5,10,5,3,3
c1,3,5,10,5,4,2
c1,3,5,10,5,5,1
c1,3,5,10,6,1,4
c1,3,5,10,6,2,3
c1,3,5,10,6,3,2
c234,3,5,10,6,4,1
c1,3,5,10,7,1,3
c103594,4,4,10,1,5,5
c7482,4,4,10,1,6,4
c284,4,4,10,1,7,3
c1,4,4,10,2,4,5
c1,4,4,10,2,5,4
c282,4,4,10,2,6,3
c79825,4,4,10,3,2,6
c23823,4,4,10,3,3,5
c1,4,4,10,3,4,4
c1,4,4,10,3,5,3
c107794,4,4,10,3,6,2
c1,4,4,10,4,3,4
c1,4,4,10,4,5,2
c1,4,4,10,5,1,5
c1,4,4,10,5,2,4
c1,4,4,10,5,3,3
c1,4,4,10,5,4,2
c1,4,4,10,5,5,1
c1,4,4,10,6,1,4
c1,4,4,10,6,2,3
c1,4,4,10,6,3,2
c1,4,4,10,6,4,1
c1,4,4,10,7,1,3
c53,6,2,11,1,5,5
c56,6,2,11,1,6,4
c1,6,2,11,1,7,3
c1,6,2,11,2,4,5
c43,6,2,11,2,5,4
c24,6,2,11,2,6,3
c1,6,2,11,3,2,6
c54,6,2,11,3,3,5
c22,6,2,11,3,4,4
c1,6,2,11,3,5,3
c1,6,2,11,3,6,2
c1,6,2,11,4,3,4
c26,6,2,11,4,5,2
c13,6,2,11,5,1,5
c30,6,2,11,5,2,4
c1,6,2,11,5,3,3
c1,6,2,11,5,4,2
c18,6,2,11,5,5,1
c40,6,2,11,6,1,4
c1,6,2,11,6,2,3
c1,6,2,11,6,3,2
c74,6,2,11,6,4,1
c22,6,2,11,7,1,3
c104818,6,3,8,1,5,5
c15194,6,3,8,1,6,4
c1,6,3,8,1,7,3
c467,6,3,8,2,4,5
c58353,6,3,8,2,5,4
c1,6,3,8,2,6,3
c1,6,3,8,3,2,6
c1218,6,3,8,3,3,5
c17330,6,3,8,3,4,4
c5503,6,3,8,3,5,3
c1,6,3,8,3,6,2
c1,6,3,8,4,3,4
c1,6,3,8,4,5,2
c1,6,3,8,5,1,5
c1,6,3,8,5,2,4
c1,6,3,8,5,3,3
c1,6,3,8,5,4,2
c48920,6,3,8,5,5,1
c315573,6,3,8,6,1,4
c20921,6,3,8,6,2,3
c6195,6,3,8,6,3,2
c547,6,3,8,6,4,1
c109,6,3,8,7,1,3
c18602,7,2,9,1,5,5
c27374,7,2,9,1,6,4
c1,7,2,9,1,7,3
c36798,7,2,9,2,4,5
c1,7,2,9,2,5,4
c1,7,2,9,2,6,3
c1,7,2,9,3,2,6
c12020,7,2,9,3,3,5
c52531,7,2,9,3,4,4
c82234,7,2,9,3,5,3
c1,7,2,9,3,6,2
c10008,7,2,9,4,3,4
c1,7,2,9,4,5,2
c366,7,2,9,5,1,5
c1,7,2,9,5,2,4
c15591,7,2,9,5,3,3
c9615,7,2,9,5,4,2
c58165,7,2,9,5,5,1
c27542,7,2,9,6,1,4
c11467,7,2,9,6,2,3
c23630,7,2,9,6,3,2
c44729,7,2,9,6,4,1
c1,7,2,9,7,1,3
c1330,7,4,4,1,5,5
c1,7,4,4,1,6,4
c1,7,4,4,1,7,3
c1,7,4,4,2,4,5
c1,7,4,4,2,5,4
c1,7,4,4,2,6,3
c1,7,4,4,3,2,6
c1,7,4,4,3,3,5
c1,7,4,4,3,4,4
c1,7,4,4,3,5,3
c1,7,4,4,3,6,2
c1,7,4,4,4,3,4
c1,7,4,4,4,5,2
c1,7,4,4,5,1,5
c1,7,4,4,5,2,4
c1,7,4,4,5,3,3
c1,7,4,4,5,4,2
c756,7,4,4,5,5,1
c55655,7,4,4,6,1,4
c1,7,4,4,6,2,3
c1,7,4,4,6,3,2
c1,7,4,4,6,4,1
c1,7,4,4,7,1,3
c1,2,5,15,1,5,6
c284603,2,5,15,1,6,5
c12468,2,5,15,1,7,4
c61815,2,5,15,2,4,6
c36604,2,5,15,2,5,5
c81203,2,5,15,2,6,4
c13076,2,5,15,2,7,3
c85,2,5,15,3,2,7
c114282,2,5,15,3,3,6
c45972,2,5,15,3,4,5
c152,2,5,15,3,5,4
c1,2,5,15,3,6,3
c65949,2,5,15,3,7,2
c54041,2,5,15,4,2,6
c2147,2,5,15,4,3,5
c1,2,5,15,4,4,4
c95353,2,5,15,4,6,2
c16625,2,5,15,5,2,5
c1,2,5,15,5,3,4
c559,2,5,15,5,5,2
c68237,2,5,15,5,6,1
c238745,2,5,15,6,1,5
c1,2,5,15,6,2,4
c1,2,5,15,6,3,3
c1,2,5,15,6,4,2
c277414,2,5,15,6,5,1
c160335,2,5,15,7,1,4
c8546,2,5,15,7,2,3
c91,2,5,15,7,3,2
c143871,2,5,15,7,4,1
c28551,2,5,15,8,1,3
c13626,2,5,15,8,2,2
c30992,2,5,15,8,3,1
c1,3,3,18,1,5,6
c1,3,3,18,1,6,5
c1,3,3,18,1,7,4
c1,3,3,18,2,4,6
c1,3,3,18,2,5,5
c1,3,3,18,2,6,4
c1,3,3,18,2,7,3
c1,3,3,18,3,2,7
c12764,3,3,18,3,3,6
c1,3,3,18,3,4,5
c1,3,3,18,3,5,4
c1,3,3,18,3,6,3
c369,3,3,18,3,7,2
c367,3,3,18,4,2,6
c1,3,3,18,4,3,5
c1,3,3,18,4,4,4
c1,3,3,18,4,6,2
c1,3,3,18,5,2,5
c1,3,3,18,5,3,4
c1,3,3,18,5,5,2
c1,3,3,18,5,6,1
c1,3,3,18,6,1,5
c1,3,3,18,6,2,4
c1,3,3,18,6,3,3
c1,3,3,18,6,4,2
c1,3,3,18,6,5,1
c1,3,3,18,7,1,4
c1,3,3,18,7,2,3
c1,3,3,18,7,3,2
c1,3,3,18,7,4,1
c1,3,3,18,8,1,3
c1,3,3,18,8,2,2
c1,3,3,18,8,3,1
c1,3,4,13,1,5,6
c1,3,4,13,1,6,5
c1,3,4,13,1,7,4
c1,3,4,13,2,4,6
c1,3,4,13,2,5,5
c1,3,4,13,2,6,4
c1,3,4,13,2,7,3
c1,3,4,13,3,2,7
c1,3,4,13,3,3,6
c1,3,4,13,3,4,5
c1,3,4,13,3,5,4
c1,3,4,13,3,6,3
c1,3,4,13,3,7,2
c1,3,4,13,4,2,6
c1,3,4,13,4,3,5
c1,3,4,13,4,4,4
c1,3,4,13,4,6,2
c1,3,4,13,5,2,5
c1,3,4,13,5,3,4
c1,3,4,13,5,5,2
c1,3,4,13,5,6,1
c1,3,4,13,6,1,5
c120,3,4,13,6,2,4
c1,3,4,13,6,3,3
c1,3,4,13,6,4,2
c1,3,4,13,6,5,1
c15,3,4,13,7,1,4
c1,3,4,13,7,2,3
c1,3,4,13,7,3,2
c1,3,4,13,7,4,1
c1,3,4,13,8,1,3
c1,3,4,13,8,2,2
c1,3,4,13,8,3,1
c1,4,2,17,1,5,6
c119,4,2,17,1,6,5
c1,4,2,17,1,7,4
c1,4,2,17,2,4,6
c1,4,2,17,2,5,5
c1,4,2,17,2,6,4
c1,4,2,17,2,7,3
c1,4,2,17,3,2,7
c1583,4,2,17,3,3,6
c1,4,2,17,3,4,5
c1,4,2,17,3,5,4
c435,4,2,17,3,6,3
c1,4,2,17,3,7,2
c1,4,2,17,4,2,6
c1,4,2,17,4,3,5
c1,4,2,17,4,4,4
c1,4,2,17,4,6,2
c1,4,2,17,5,2,5
c1,4,2,17,5,3,4
c1,4,2,17,5,5,2
c13,4,2,17,5,6,1
c619,4,2,17,6,1,5
c1,4,2,17,6,2,4
c1,4,2,17,6,3,3
c1,4,2,17,6,4,2
c1,4,2,17,6,5,1
c1,4,2,17,7,1,4
c1,4,2,17,7,2,3
c233,4,2,17,7,3,2
c39,4,2,17,7,4,1
c8,4,2,17,8,1,3
c1,4,2,17,8,2,2
c1,4,2,17,8,3,1
c1,4,3,13,1,5,6
c398,4,3,13,1,6,5
c27445,4,3,13,1,7,4
c1,4,3,13,2,4,6
c15789,4,3,13,2,5,5
c6992,4,3,13,2,6,4
c38025,4,3,13,2,7,3
c1,4,3,13,3,2,7
c32380,4,3,13,3,3,6
c24629,4,3,13,3,4,5
c13622,4,3,13,3,5,4
c126,4,3,13,3,6,3
c58268,4,3,13,3,7,2
c97502,4,3,13,4,2,6
c2524,4,3,13,4,3,5
c1,4,3,13,4,4,4
c59486,4,3,13,4,6,2
c32860,4,3,13,5,2,5
c25496,4,3,13,5,3,4
c26468,4,3,13,5,5,2
c1,4,3,13,5,6,1
c1,4,3,13,6,1,5
c14638,4,3,13,6,2,4
c1,4,3,13,6,3,3
c1,4,3,13,6,4,2
c549,4,3,13,6,5,1
c2084,4,3,13,7,1,4
c16024,4,3,13,7,2,3
c5116,4,3,13,7,3,2
c20924,4,3,13,7,4,1
c50967,4,3,13,8,1,3
c1,4,3,13,8,2,2
c51601,4,3,13,8,3,1
c1,4,4,9,1,5,6
c24091,4,4,9,1,6,5
c1,4,4,9,1,7,4
c1,4,4,9,2,4,6
c1,4,4,9,2,5,5
c10754,4,4,9,2,6,4
c1,4,4,9,2,7,3
c1,4,4,9,3,2,7
c1,4,4,9,3,3,6
c1507,4,4,9,3,4,5
c1,4,4,9,3,5,4
c1,4,4,9,3,6,3
c1,4,4,9,3,7,2
c1,4,4,9,4,2,6
c1,4,4,9,4,3,5
c1,4,4,9,4,4,4
c1,4,4,9,4,6,2
c1,4,4,9,5,2,5
c1,4,4,9,5,3,4
c1,4,4,9,5,5,2
c1,4,4,9,5,6,1
c3528,4,4,9,6,1,5
c50,4,4,9,6,2,4
c1,4,4,9,6,3,3
c1,4,4,9,6,4,2
c35316,4,4,9,6,5,1
c60894,4,4,9,7,1,4
c55245,4,4,9,7,2,3
c1,4,4,9,7,3,2
c1,4,4,9,7,4,1
c1,4,4,9,8,1,3
c1,4,4,9,8,2,2
c1,4,4,9,8,3,1
c1,5,2,13,1,5,6
c1,5,2,13,1,6,5
c1,5,2,13,1,7,4
c1,5,2,13,2,4,6
c1,5,2,13,2,5,5
c1,5,2,13,2,6,4
c1,5,2,13,2,7,3
c1,5,2,13,3,2,7
c1,5,2,13,3,3,6
c9866,5,2,13,3,4,5
c1,5,2,13,3,5,4
c1188,5,2,13,3,6,3
c1,5,2,13,3,7,2
c143,5,2,13,4,2,6
c39543,5,2,13,4,3,5
c764,5,2,13,4,4,4
c27720,5,2,13,4,6,2
c1588,5,2,13,5,2,5
c1158,5,2,13,5,3,4
c1,5,2,13,5,5,2
c1,5,2,13,5,6,1
c1,5,2,13,6,1,5
c6300,5,2,13,6,2,4
c1,5,2,13,6,3,3
c23630,5,2,13,6,4,2
c1,5,2,13,6,5,1
c1,5,2,13,7,1,4
c3784,5,2,13,7,2,3
c45669,5,2,13,7,3,2
c265,5,2,13,7,4,1
c1,5,2,13,8,1,3
c1,5,2,13,8,2,2
c1,5,2,13,8,3,1
c1,7,3,6,1,5,6
c1,7,3,6,1,6,5
c1,7,3,6,1,7,4
c1,7,3,6,2,4,6
c1,7,3,6,2,5,5
c1,7,3,6,2,6,4
c1,7,3,6,2,7,3
c1,7,3,6,3,2,7
c1,7,3,6,3,3,6
c1,7,3,6,3,4,5
c1,7,3,6,3,5,4
c1,7,3,6,3,6,3
c1,7,3,6,3,7,2
c1,7,3,6,4,2,6
c1,7,3,6,4,3,5
c1,7,3,6,4,4,4
c1,7,3,6,4,6,2
c1,7,3,6,5,2,5
c1,7,3,6,5,3,4
c1,7,3,6,5,5,2
c1,7,3,6,5,6,1
c1,7,3,6,6,1,5
c1,7,3,6,6,2,4
c1,7,3,6,6,3,3
c1,7,3,6,6,4,2
c44278,7,3,6,6,5,1
c1,7,3,6,7,1,4
c1,7,3,6,7,2,3
c1,7,3,6,7,3,2
c1,7,3,6,7,4,1
c1,7,3,6,8,1,3
c1,7,3,6,8,2,2
c1,7,3,6,8,3,1
c22506,8,1,10,1,5,6
c152277,8,1,10,1,6,5
c92046,8,1,10,1,7,4
c16338,8,1,10,2,4,6
c8392,8,1,10,2,5,5
c54500,8,1,10,2,6,4
c388,8,1,10,2,7,3
c1,8,1,10,3,2,7
c53107,8,1,10,3,3,6
c413,8,1,10,3,4,5
c1,8,1,10,3,5,4
c4439,8,1,10,3,6,3
c1,8,1,10,3,7,2
c8410,8,1,10,4,2,6
c74,8,1,10,4,3,5
c1,8,1,10,4,4,4
c48190,8,1,10,4,6,2
c110765,8,1,10,5,2,5
c1,8,1,10,5,3,4
c8,8,1,10,5,5,2
c26678,8,1,10,5,6,1
c255841,8,1,10,6,1,5
c6238,8,1,10,6,2,4
c1,8,1,10,6,3,3
c1,8,1,10,6,4,2
c203730,8,1,10,6,5,1
c86840,8,1,10,7,1,4
c46391,8,1,10,7,2,3
c24828,8,1,10,7,3,2
c188350,8,1,10,7,4,1
c22299,8,1,10,8,1,3
c30,8,1,10,8,2,2
c1,8,1,10,8,3,1
c49480,11,1,7,1,5,6
c128698,11,1,7,1,6,5
c53811,11,1,7,1,7,4
c68487,11,1,7,2,4,6
c66601,11,1,7,2,5,5
c53847,11,1,7,2,6,4
c81183,11,1,7,2,7,3
c1,11,1,7,3,2,7
c20503,11,1,7,3,3,6
c40352,11,1,7,3,4,5
c838,11,1,7,3,5,4
c34614,11,1,7,3,6,3
c11600,11,1,7,3,7,2
c88803,11,1,7,4,2,6
c77371,11,1,7,4,3,5
c10145,11,1,7,4,4,4
c83541,11,1,7,4,6,2
c32703,11,1,7,5,2,5
c26659,11,1,7,5,3,4
c48581,11,1,7,5,5,2
c8721,11,1,7,5,6,1
c134209,11,1,7,6,1,5
c129,11,1,7,6,2,4
c17451,11,1,7,6,3,3
c52441,11,1,7,6,4,2
c166817,11,1,7,6,5,1
c23796,11,1,7,7,1,4
c31679,11,1,7,7,2,3
c13,11,1,7,7,3,2
c106979,11,1,7,7,4,1
c68358,11,1,7,8,1,3
c65595,11,1,7,8,2,2
c70721,11,1,7,8,3,1
c29512,1,7,2,1,6,6
c6151,1,7,2,1,7,5
c9938,1,7,2,2,4,7
c1,1,7,2,2,5,6
c1,1,7,2,2,7,4
c8041,1,7,2,3,3,7
c175,1,7,2,3,4,6
c1,1,7,2,3,5,5
c1,1,7,2,4,3,6
c119,1,7,2,4,7,2
c1,1,7,2,5,2,6
c1,1,7,2,6,1,6
c15132,1,7,2,6,6,1
c15022,1,7,2,7,1,5
c25667,1,7,2,7,5,1
c1,1,7,2,8,1,4
c5579,1,7,2,8,2,3
c1,1,7,2,8,4,1
c1,2,5,12,1,6,6
c1,2,5,12,1,7,5
c1,2,5,12,2,4,7
c1,2,5,12,2,5,6
c326,2,5,12,2,7,4
c1,2,5,12,3,3,7
c1,2,5,12,3,4,6
c1,2,5,12,3,5,5
c1,2,5,12,4,3,6
c1,2,5,12,4,7,2
c1,2,5,12,5,2,6
c1,2,5,12,6,1,6
c1,2,5,12,6,6,1
c54,2,5,12,7,1,5
c1,2,5,12,7,5,1
c1,2,5,12,8,1,4
c940,2,5,12,8,2,3
c1,2,5,12,8,4,1
c115934,3,3,17,1,6,6
c9631,3,3,17,1,7,5
c23,3,3,17,2,4,7
c7816,3,3,17,2,5,6
c42586,3,3,17,2,7,4
c47,3,3,17,3,3,7
c4,3,3,17,3,4,6
c1,3,3,17,3,5,5
c1,3,3,17,4,3,6
c1166,3,3,17,4,7,2
c401,3,3,17,5,2,6
c1,3,3,17,6,1,6
c1,3,3,17,6,6,1
c35388,3,3,17,7,1,5
c7189,3,3,17,7,5,1
c43356,3,3,17,8,1,4
c1,3,3,17,8,2,3
c1,3,3,17,8,4,1
c81341,3,4,12,1,6,6
c103680,3,4,12,1,7,5
c1519,3,4,12,2,4,7
c41080,3,4,12,2,5,6
c145479,3,4,12,2,7,4
c53741,3,4,12,3,3,7
c175,3,4,12,3,4,6
c125,3,4,12,3,5,5
c41051,3,4,12,4,3,6
c80182,3,4,12,4,7,2
c45932,3,4,12,5,2,6
c14485,3,4,12,6,1,6
c72722,3,4,12,6,6,1
c149620,3,4,12,7,1,5
c117027,3,4,12,7,5,1
c121123,3,4,12,8,1,4
c92680,3,4,12,8,2,3
c34550,3,4,12,8,4,1
c52310,4,4,8,1,6,6
c1,4,4,8,1,7,5
c1,4,4,8,2,4,7
c1,4,4,8,2,5,6
c1,4,4,8,2,7,4
c1,4,4,8,3,3,7
c1,4,4,8,3,4,6
c1,4,4,8,3,5,5
c1,4,4,8,4,3,6
c1,4,4,8,4,7,2
c1,4,4,8,5,2,6
c1,4,4,8,6,1,6
c6962,4,4,8,6,6,1
c66826,4,4,8,7,1,5
c1,4,4,8,7,5,1
c1,4,4,8,8,1,4
c1,4,4,8,8,2,3
c1,4,4,8,8,4,1
c167538,2,4,18,1,7,6
c88523,2,4,18,2,5,7
c285,2,4,18,2,7,5
c1,2,4,18,5,7,2
c139978,2,4,18,7,1,6
c182876,2,4,18,7,6,1
c25420,2,4,18,8,1,5
c3690,2,4,18,8,5,1
c13601,3,3,16,1,7,6
c1369,3,3,16,2,5,7
c512,3,3,16,2,7,5
c14543,3,3,16,5,7,2
c1,3,3,16,7,1,6
c1,3,3,16,7,6,1
c13369,3,3,16,8,1,5
c34611,3,3,16,8,5,1
c481,4,2,16,1,7,6
c1,4,2,16,2,5,7
c60,4,2,16,2,7,5
c1,4,2,16,5,7,2
c15596,4,2,16,7,1,6
c47995,4,2,16,7,6,1
c37886,4,2,16,8,1,5
c6982,4,2,16,8,5,1
c42232,3,3,15,1,7,7
c2062,3,3,15,1,8,6
c1,3,3,15,2,6,7
c1,3,3,15,2,7,6
c150,3,3,15,2,8,5
c96,3,3,15,3,5,7
c1,3,3,15,5,8,2
c1,3,3,15,6,2,7
c1,3,3,15,6,7,2
c1,3,3,15,7,1,7
c1029,3,3,15,7,7,1
c158895,3,3,15,8,1,6
c1892,3,3,15,8,6,1
c1223,3,3,15,9,1,5
c32218,5,1,16,1,7,7
c85667,5,1,16,1,8,6
c268,5,1,16,2,6,7
c48041,5,1,16,2,7,6
c41590,5,1,16,2,8,5
c136557,5,1,16,3,5,7
c491,5,1,16,5,8,2
c6527,5,1,16,6,2,7
c51304,5,1,16,6,7,2
c24104,5,1,16,7,1,7
c25012,5,1,16,7,7,1
c61287,5,1,16,8,1,6
c85753,5,1,16,8,6,1
c76379,5,1,16,9,1,5
c242854,5,2,12,1,7,7
c26826,5,2,12,1,8,6
c411,5,2,12,2,6,7
c540,5,2,12,2,7,6
c1,5,2,12,2,8,5
c238,5,2,12,3,5,7
c1,5,2,12,5,8,2
c1,5,2,12,6,2,7
c1,5,2,12,6,7,2
c1,5,2,12,7,1,7
c88253,5,2,12,7,7,1
c246845,5,2,12,8,1,6
c6112,5,2,12,8,6,1
c1,5,2,12,9,1,5
c1,2,4,14,1,7,8
c74,2,4,14,1,8,7
c1,2,4,14,1,9,6
c1,2,4,14,2,6,8
c1,2,4,14,2,7,7
c1,2,4,14,2,8,6
c1,2,4,14,3,5,8
c1,2,4,14,3,7,6
c1,2,4,14,3,8,5
c1,2,4,14,5,4,7
c1,2,4,14,6,8,2
c1,2,4,14,7,2,7
c1,2,4,14,7,7,2
c1,2,4,14,7,8,1
c56,2,4,14,8,1,7
c1,2,4,14,8,2,6
c1,2,4,14,8,7,1
c119,2,4,14,9,1,6
c1,2,4,14,9,6,1
c1,2,4,14,10,1,5
c1,4,2,15,1,7,8
c240037,4,2,15,1,8,7
c1,4,2,15,1,9,6
c1,4,2,15,2,6,8
c1272,4,2,15,2,7,7
c737,4,2,15,2,8,6
c1,4,2,15,3,5,8
c1,4,2,15,3,7,6
c244,4,2,15,3,8,5
c1,4,2,15,5,4,7
c1,4,2,15,6,8,2
c1,4,2,15,7,2,7
c1,4,2,15,7,7,2
c1,4,2,15,7,8,1
c140668,4,2,15,8,1,7
c1,4,2,15,8,2,6
c208119,4,2,15,8,7,1
c19397,4,2,15,9,1,6
c1,4,2,15,9,6,1
c1,4,2,15,10,1,5
c1,4,3,10,1,7,8
c1,4,3,10,1,8,7
c1,4,3,10,1,9,6
c1,4,3,10,2,6,8
c1,4,3,10,2,7,7
c1,4,3,10,2,8,6
c1,4,3,10,3,5,8
c1,4,3,10,3,7,6
c1,4,3,10,3,8,5
c1,4,3,10,5,4,7
c1,4,3,10,6,8,2
c1,4,3,10,7,2,7
c1,4,3,10,7,7,2
c1,4,3,10,7,8,1
c1,4,3,10,8,1,7
c1,4,3,10,8,2,6
c605,4,3,10,8,7,1
c1,4,3,10,9,1,6
c1,4,3,10,9,6,1
c1,4,3,10,10,1,5
c1,6,1,13,1,7,8
c164321,6,1,13,1,8,7
c1,6,1,13,1,9,6
c1,6,1,13,2,6,8
c21307,6,1,13,2,7,7
c6,6,1,13,2,8,6
c1,6,1,13,3,5,8
c1,6,1,13,3,7,6
c4,6,1,13,3,8,5
c1,6,1,13,5,4,7
c3,6,1,13,6,8,2
c101,6,1,13,7,2,7
c1,6,1,13,7,7,2
c1,6,1,13,7,8,1
c81339,6,1,13,8,1,7
c1,6,1,13,8,2,6
c51429,6,1,13,8,7,1
c60956,6,1,13,9,1,6
c1,6,1,13,9,6,1
c1,6,1,13,10,1,5
c26992,7,1,11,1,7,8
c8581,7,1,11,1,8,7
c28011,7,1,11,1,9,6
c101,7,1,11,2,6,8
c30353,7,1,11,2,7,7
c13927,7,1,11,2,8,6
c40669,7,1,11,3,5,8
c18929,7,1,11,3,7,6
c10880,7,1,11,3,8,5
c1,7,1,11,5,4,7
c43663,7,1,11,6,8,2
c14177,7,1,11,7,2,7
c4124,7,1,11,7,7,2
c40487,7,1,11,7,8,1
c30729,7,1,11,8,1,7
c2883,7,1,11,8,2,6
c19403,7,1,11,8,7,1
c58168,7,1,11,9,1,6
c50203,7,1,11,9,6,1
c31823,7,1,11,10,1,5
